;ano;mes;seguradora;vendedor;tot_apolices;venda;date;total_venda
657;2019;10;72;14;3;994,66;2019-10-01;2983,98
658;2019;10;31;38;3;167,425;2019-10-01;502,27500000000003
659;2019;10;66;39;2;80,35;2019-10-01;160,7
660;2019;11;77;20;1;8850,0;2019-11-01;8850,0
661;2019;11;21;16;1;87,33;2019-11-01;87,33
662;2019;11;66;14;1;51,785;2019-11-01;51,785
663;2019;11;24;25;1;50,0;2019-11-01;50,0
664;2019;11;72;43;4;652,835;2019-11-01;2611,34
665;2019;11;72;13;1;152,355;2019-11-01;152,355
666;2019;11;72;20;3;229,955;2019-11-01;689,865
667;2019;11;13;16;2;68,07;2019-11-01;136,14
668;2019;11;78;25;1;50,0;2019-11-01;50,0
669;2019;11;66;9;4;403,415;2019-11-01;1613,66
670;2019;11;72;2;2;53,0;2019-11-01;106,0
671;2019;11;79;2;1;350,665;2019-11-01;350,665
672;2019;11;64;27;1;62,0;2019-11-01;62,0
673;2019;11;72;47;1;448,23;2019-11-01;448,23
674;2019;11;44;9;2;101,87;2019-11-01;203,74
675;2019;11;55;19;1;4204,635;2019-11-01;4204,635
676;2019;11;64;1;1;141,455;2019-11-01;141,455
677;2019;11;44;35;4;25,39;2019-11-01;101,56
678;2019;11;72;17;1;786,975;2019-11-01;786,975
679;2019;11;66;38;5;617,585;2019-11-01;3087,925
680;2019;11;55;11;1;67,25;2019-11-01;67,25
681;2019;11;75;25;1;50,0;2019-11-01;50,0
682;2019;11;31;57;9;4595,255;2019-11-01;41357,295
683;2019;11;66;17;6;958,07;2019-11-01;5748,42
684;2019;11;66;52;1;274,795;2019-11-01;274,795
685;2019;11;44;19;1;73,75;2019-11-01;73,75
686;2019;11;31;37;1;6656,935;2019-11-01;6656,935
687;2019;11;66;42;1;190,775;2019-11-01;190,775
688;2019;11;44;12;1;69,0;2019-11-01;69,0
689;2019;11;44;38;15;504,81;2019-11-01;7572,15
690;2019;11;66;56;1;79,475;2019-11-01;79,475
691;2019;11;72;1;3;263,53;2019-11-01;790,5899999999999
692;2019;11;56;17;1;11672,69;2019-11-01;11672,69
693;2019;11;66;16;18;1071,62;2019-11-01;19289,159999999996
694;2019;11;23;9;1;33,32;2019-11-01;33,32
695;2019;11;74;12;1;703,835;2019-11-01;703,835
696;2019;11;31;38;3;103,25;2019-11-01;309,75
697;2019;11;72;35;16;-4990,125;2019-11-01;-79842,0
698;2019;11;62;27;6;170,24;2019-11-01;1021,44
699;2019;11;44;13;1;76,1;2019-11-01;76,1
700;2019;11;66;1;5;147,435;2019-11-01;737,175
701;2019;11;31;58;1;97,19;2019-11-01;97,19
702;2019;11;72;9;9;2168,84;2019-11-01;19519,56
703;2019;11;44;16;4;173,665;2019-11-01;694,66
704;2019;11;72;52;3;2230,885;2019-11-01;6692,655000000001
705;2019;11;66;57;2;980,0;2019-11-01;1960,0
706;2019;11;31;52;1;87,5;2019-11-01;87,5
707;2019;11;6;12;1;70,0;2019-11-01;70,0
708;2019;11;66;43;2;196,65;2019-11-01;393,3
