ano,mes,seguradora,vendedor,tot_apolices,receita
2019,11,6,12,1,70
2019,11,21,17,1,"74,675"
2019,11,21,16,1,50
2019,12,21,16,1,"87,33"
2019,12,6,12,1,70
2019,12,13,16,2,"184,935"
2019,12,23,20,1,"1896,435"
2019,12,75,22,1,"87,5"
2019,12,55,16,1,"125950,595"
2019,12,44,38,17,"532,885"
2019,12,44,35,4,"101,44"
2019,12,44,20,1,"142,005"
2019,12,44,16,5,"292,395"
2019,12,44,12,3,"1089,98"
2019,12,44,9,2,"114,84"
2019,12,77,20,1,8850
2019,12,74,12,1,"867,295"
2019,12,79,2,1,"125,165"
2019,12,64,57,1,"141,455"
2019,12,64,16,2,"1059,03"
2019,12,31,38,1,"98,28"
2019,12,31,35,2,"7465,92"
2019,12,31,19,1,"1501,965"
2019,12,31,16,3,"12442,61"
2019,12,31,12,1,"665,87"
2019,12,31,9,1,"646,69"
2019,12,66,57,5,"421,455"
2019,12,66,56,7,"465,6"
2019,12,66,47,1,"71,42"
2019,12,66,43,4,"175,11"
2019,12,66,42,1,"190,77"
2019,12,66,39,2,"53,45"
2019,12,66,38,5,"887,515"
2019,12,66,35,1,"70,535"
2019,12,66,20,4,"1167,27"
2019,12,66,19,3,"225,64"
2019,12,66,17,5,"1250,425"
2019,12,66,16,17,"1782,145"
2019,12,66,9,3,"374,73"
2019,12,66,1,1,"334,41"
2019,12,72,59,1,"610,765"
2019,12,72,57,5,"926,755"
2019,12,72,56,2,"407,055"
2019,12,72,52,2,"768,91"
2019,12,72,47,2,"455,83"
2019,12,72,43,3,"357,005"
2019,12,72,39,1,"1350,015"
2019,12,72,38,6,"1433,985"
2019,12,72,20,2,"1037,29"
2019,12,72,19,5,"1508,355"
2019,12,72,17,1,"418,485"
2019,12,72,16,16,"2665,065"
2019,12,72,14,1,"216,67"
2019,12,72,12,8,"303,955"
2019,12,72,9,11,"2610,515"
2019,12,72,2,2,"72,5"
2020,1,72,59,1,"486,79"
2020,1,72,57,2,"463,16"
2020,1,72,56,2,"661,87"
2020,1,72,55,1,"397,87"
2020,1,72,52,1,"252,395"
2020,1,72,47,3,"1383,38"
2020,1,72,44,1,"90,69"
2020,1,72,42,2,"520,82"
2020,1,72,41,2,"673,37"
2020,1,72,38,7,"1849,73"
2020,1,72,36,1,"3824,2"
2020,1,72,19,1,"1077,58"
2020,1,72,17,2,"202,72"
2020,1,72,16,9,"1149,555"
2020,1,72,14,4,"439,35"
2020,1,72,13,1,"945,645"
2020,1,72,12,17,"7528,91"
2020,1,72,9,12,"1684,595"
2020,1,72,2,2,"241,445"
2020,1,72,1,1,"328,115"
2020,1,66,59,1,"71,385"
2020,1,66,56,2,"98,545"
2020,1,66,52,1,"113,765"
2020,1,66,46,1,"483,5"
2020,1,66,42,1,"71,42"
2020,1,66,39,1,"53,865"
2020,1,66,38,8,"797,855"
2020,1,66,36,1,"82,33"
2020,1,66,35,2,"567,32"
2020,1,66,20,5,"1358,155"
2020,1,66,19,9,"390,88"
2020,1,66,17,9,"782,365"
2020,1,66,16,13,"1590,5"
2020,1,66,9,7,"897,12"
2020,1,66,2,4,"1873,98"
2020,1,31,42,2,"1029,52"
2020,1,31,38,5,"718,16"
2020,1,31,37,1,"2252,31"
2020,1,31,35,2,"4800,51"
2020,1,31,20,1,"610,335"
2020,1,31,16,6,"4609,99"
2020,1,31,9,3,"7526,37"
2020,1,79,2,1,"125,165"
2020,1,44,52,1,"73,75"
2020,1,44,42,2,"73,75"
2020,1,44,38,6,"781,275"
2020,1,44,16,7,"658,195"
2020,1,44,12,3,"130,535"
2020,1,44,9,2,150
2020,1,55,20,4,"1998,025"
2020,1,55,19,1,"4204,635"
2020,1,23,20,1,"70,78"
2020,1,23,9,1,"19380,075"
2020,1,13,57,1,"89,36"
2020,1,13,16,1,"98,46"
2020,1,6,12,1,30
2020,1,21,20,1,"74,59"
2020,1,42,56,1,"207,48"
2020,1,42,20,1,"429,97"
2020,2,21,16,2,"158,82"
2020,2,6,12,3,110
2020,2,13,16,1,"122,12"
2020,2,23,16,2,"719,61"
2020,2,55,38,1,"7450,595"
2020,2,55,35,1,"79,625"
2020,2,55,20,2,"9491,795"
2020,2,55,12,1,"196,805"
2020,2,44,59,1,"71,25"
2020,2,44,56,1,"138,8"
2020,2,44,42,2,"72,5"
2020,2,44,38,3,"250,11"
2020,2,44,35,1,"61,875"
2020,2,44,20,1,"112,5"
2020,2,44,16,2,"113,985"
2020,2,44,12,4,"163,335"
2020,2,44,9,1,"73,75"
2020,2,79,2,1,"125,165"
2020,2,77,20,3,26450
2020,2,31,57,3,"4655,08"
2020,2,31,39,2,"181,535"
2020,2,31,38,1,"-74,12"
2020,2,31,37,1,"1151,155"
2020,2,31,35,4,"7103,97"
2020,2,31,20,2,"626,855"
2020,2,31,19,1,"537,22"
2020,2,31,18,1,"2177,31"
2020,2,31,17,1,"87,5"
2020,2,31,16,4,"7281,915"
2020,2,31,12,1,100
2020,2,31,9,1,"781,21"
2020,2,66,59,3,"155,065"
2020,2,66,57,2,"92,82"
2020,2,66,56,4,"302,43"
2020,2,66,43,3,"445,32"
2020,2,66,42,1,"129,465"
2020,2,66,38,4,"827,445"
2020,2,66,36,1,"64,28"
2020,2,66,35,1,"71,42"
2020,2,66,20,6,"529,24"
2020,2,66,19,9,"732,26"
2020,2,66,17,3,"397,325"
2020,2,66,16,9,"353,56"
2020,2,66,14,4,"717,86"
2020,2,66,13,1,"71,43"
2020,2,66,2,3,"196,015"
2020,2,72,59,5,"569,96"
2020,2,72,57,6,"296,08"
2020,2,72,56,2,"2100,205"
2020,2,72,52,1,"788,215"
2020,2,72,47,1,"103,555"
