;ano;mes;seguradora;vendedor;tot_apolices;venda;tot_venda;month_name
543;2019;9;21;16;1;855,115;855,115;September
544;2019;9;66;16;20;1257,755;25155,100000000002;September
545;2019;9;6;17;1;73,085;73,085;September
546;2019;9;66;1;3;145,6;436,79999999999995;September
547;2019;9;44;38;5;493,295;2466,475;September
548;2019;9;72;38;9;1776,735;15990,615;September
549;2019;9;66;14;1;51,785;51,785;September
550;2019;9;31;57;4;1747,73;6990,92;September
551;2019;9;72;2;2;110,255;220,51;September
552;2019;9;66;42;2;244,25;488,5;September
553;2019;9;72;9;12;2423,415;29080,98;September
554;2019;9;44;17;2;74,0;148,0;September
555;2019;9;75;27;3;106,835;320,505;September
556;2019;9;66;35;1;60,12;60,12;September
557;2019;9;44;9;5;161,325;806,625;September
558;2019;9;66;56;1;96,415;96,415;September
559;2019;9;72;44;2;667,705;1335,41;September
560;2019;9;44;57;1;354,95;354,95;September
561;2019;9;72;55;2;51,85;103,7;September
562;2019;9;66;39;3;241,96;725,88;September
563;2019;9;72;14;2;389,935;779,87;September
564;2019;9;64;16;1;66,795;66,795;September
565;2019;9;72;16;13;2824,355;36716,615;September
566;2019;9;66;9;5;357,96;1789,8;September
567;2019;9;42;20;1;1569,875;1569,875;September
568;2019;9;21;57;1;3740,865;3740,865;September
569;2019;9;23;16;2;50,0;100,0;September
570;2019;9;72;17;1;95,415;95,415;September
571;2019;9;31;20;1;457,26;457,26;September
572;2019;9;31;16;4;308,275;1233,1;September
